username,firstname,lastname,email,grade,section,parentusername,parentfirstname,parentlastname,parentemail
newstudent7a001,newstudent7,One,s1001@yopmail.com,6,A,newparent71001,newparent7,One,p1001@yopmail.com
newstudent7b002,newstudent7,Two,s1002@yopmail.com,6,B,newparent71002,newparent7,Two,p1002@yopmail.com
newstudent7c003,newstudent7,Three,s1003@yopmail.com,6,C,newparent71003,newparent7,Three,p1003@yopmail.com
newstudent7d004,newstudent7,Four,s1004@yopmail.com,6,D,newparent71004,newparent7,Four,p1004@yopmail.com
newstudent7e005,newstudent7,Five,s1005@yopmail.com,6,A,newparent71005,newparent7,Five,p1005@yopmail.com
newstudent7f006,newstudent7,Six,s1006@yopmail.com,6,B,newparent71006,newparent7,Six,p1006@yopmail.com
newstudent7g007,newstudent7,Seven,s1007@yopmail.com,6,C,newparent71007,newparent7,Seven,p1007@yopmail.com
newstudent7h008,newstudent7,Eight,s1008@yopmail.com,6,D,newparent71008,newparent7,Eight,p1008@yopmail.com
newstudent7i009,newstudent7,Nine,s1009@yopmail.com,6,A,newparent71009,newparent7,Nine,p1009@yopmail.com
newstudent7j010,newstudent7,Ten,s1010@yopmail.com,6,B,newparent71010,newparent7,Ten,p1010@yopmail.com
newstudent7a011,newstudent7,Eleven,s1011@yopmail.com,7,A,newparent71011,newparent7,Eleven,p1011@yopmail.com
newstudent7b012,newstudent7,Twelve,s1012@yopmail.com,7,B,newparent71012,newparent7,Twelve,p1012@yopmail.com
newstudent7c013,newstudent7,Thirteen,s1013@yopmail.com,7,C,newparent71013,newparent7,Thirteen,p1013@yopmail.com
newstudent7d014,newstudent7,Fourteen,s1014@yopmail.com,7,D,newparent71014,newparent7,Fourteen,p1014@yopmail.com
newstudent7e015,newstudent7,Fifteen,s1015@yopmail.com,7,A,newparent71015,newparent7,Fifteen,p1015@yopmail.com
newstudent7f016,newstudent7,Sixteen,s1016@yopmail.com,7,B,newparent71016,newparent7,Sixteen,p1016@yopmail.com
newstudent7g017,newstudent7,Seventeen,s1017@yopmail.com,7,C,newparent71017,newparent7,Seventeen,p1017@yopmail.com
newstudent7h018,newstudent7,Eighteen,s1018@yopmail.com,7,D,newparent71018,newparent7,Eighteen,p1018@yopmail.com
newstudent7i019,newstudent7,Nineteen,s1019@yopmail.com,7,A,newparent71019,newparent7,Nineteen,p1019@yopmail.com
newstudent7j020,newstudent7,Twenty,s1020@yopmail.com,7,B,newparent71020,newparent7,Twenty,p1020@yopmail.com
newstudent7a021,newstudent7,TwentyOne,s1021@yopmail.com,8,A,newparent71021,newparent7,TwentyOne,p1021@yopmail.com
newstudent7b022,newstudent7,TwentyTwo,s1022@yopmail.com,8,B,newparent71022,newparent7,TwentyTwo,p1022@yopmail.com
newstudent7c023,newstudent7,TwentyThree,s1023@yopmail.com,8,C,newparent71023,newparent7,TwentyThree,p1023@yopmail.com
newstudent7d024,newstudent7,TwentyFour,s1024@yopmail.com,8,D,newparent71024,newparent7,TwentyFour,p1024@yopmail.com
newstudent7e025,newstudent7,TwentyFive,s1025@yopmail.com,8,A,newparent71025,newparent7,TwentyFive,p1025@yopmail.com
newstudent7f026,newstudent7,TwentySix,s1026@yopmail.com,8,B,newparent71026,newparent7,TwentySix,p1026@yopmail.com
newstudent7g027,newstudent7,TwentySeven,s1027@yopmail.com,8,C,newparent71027,newparent7,TwentySeven,p1027@yopmail.com
newstudent7h028,newstudent7,TwentyEight,s1028@yopmail.com,8,D,newparent71028,newparent7,TwentyEight,p1028@yopmail.com
newstudent7i029,newstudent7,TwentyNine,s1029@yopmail.com,8,A,newparent71029,newparent7,TwentyNine,p1029@yopmail.com
newstudent7j030,newstudent7,Thirty,s1030@yopmail.com,8,B,newparent71030,newparent7,Thirty,p1030@yopmail.com
newstudent7a031,newstudent7,ThirtyOne,s1031@yopmail.com,9,A,newparent71031,newparent7,ThirtyOne,p1031@yopmail.com
newstudent7b032,newstudent7,ThirtyTwo,s1032@yopmail.com,9,B,newparent71032,newparent7,ThirtyTwo,p1032@yopmail.com
newstudent7c033,newstudent7,ThirtyThree,s1033@yopmail.com,9,C,newparent71033,newparent7,ThirtyThree,p1033@yopmail.com
newstudent7d034,newstudent7,ThirtyFour,s1034@yopmail.com,9,D,newparent71034,newparent7,ThirtyFour,p1034@yopmail.com
newstudent7e035,newstudent7,ThirtyFive,s1035@yopmail.com,9,A,newparent71035,newparent7,ThirtyFive,p1035@yopmail.com
newstudent7f036,newstudent7,ThirtySix,s1036@yopmail.com,9,B,newparent71036,newparent7,ThirtySix,p1036@yopmail.com
newstudent7g037,newstudent7,ThirtySeven,s1037@yopmail.com,9,C,newparent71037,newparent7,ThirtySeven,p1037@yopmail.com
newstudent7h038,newstudent7,ThirtyEight,s1038@yopmail.com,9,D,newparent71038,newparent7,ThirtyEight,p1038@yopmail.com
newstudent7i039,newstudent7,ThirtyNine,s1039@yopmail.com,9,A,newparent71039,newparent7,ThirtyNine,p1039@yopmail.com
newstudent7j040,newstudent7,Forty,s1040@yopmail.com,9,B,newparent71040,newparent7,Forty,p1040@yopmail.com
newstudent7a041,newstudent7,FortyOne,s1041@yopmail.com,10,A,newparent71041,newparent7,FortyOne,p1041@yopmail.com
newstudent7b042,newstudent7,FortyTwo,s1042@yopmail.com,10,B,newparent71042,newparent7,FortyTwo,p1042@yopmail.com
newstudent7c043,newstudent7,FortyThree,s1043@yopmail.com,10,C,newparent71043,newparent7,FortyThree,p1043@yopmail.com
newstudent7d044,newstudent7,FortyFour,s1044@yopmail.com,10,D,newparent71044,newparent7,FortyFour,p1044@yopmail.com
newstudent7e045,newstudent7,FortyFive,s1045@yopmail.com,10,A,newparent71045,newparent7,FortyFive,p1045@yopmail.com
newstudent7f046,newstudent7,FortySix,s1046@yopmail.com,10,B,newparent71046,newparent7,FortySix,p1046@yopmail.com
newstudent7g047,newstudent7,FortySeven,s1047@yopmail.com,10,C,newparent71047,newparent7,FortySeven,p1047@yopmail.com
newstudent7h048,newstudent7,FortyEight,s1048@yopmail.com,10,D,newparent71048,newparent7,FortyEight,p1048@yopmail.com
newstudent7i049,newstudent7,FortyNine,s1049@yopmail.com,10,A,newparent71049,newparent7,FortyNine,p1049@yopmail.com
newstudent7j050,newstudent7,Fifty,s1050@yopmail.com,10,B,newparent71050,newparent7,Fifty,p1050@yopmail.com
